                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.79052,                0.43595,                0.94294,                0.88737,                0.85217,                0.91605,                0.57189,                 1.3494,                0.68269,                 1.2885,             0.00024772,             0.00024772,             0.00024772
                     88,                0.78812,                0.42751,                0.94536,                0.86079,                0.88121,                0.91947,                0.57885,                 1.3427,                0.67313,                 1.2815,             0.00023121,             0.00023121,             0.00023121
                     89,                 0.7814,                0.42357,                0.93774,                0.88795,                0.86259,                0.91867,                0.57776,                 1.3376,                0.67042,                  1.287,             0.00021471,             0.00021471,             0.00021471
                     90,                0.78543,                0.42481,                0.93981,                0.86228,                0.86641,                0.91393,                0.57349,                 1.3457,                0.67303,                 1.2976,             0.00019821,             0.00019821,             0.00019821
                     91,                0.72447,                0.35322,                0.92658,                0.84741,                0.87412,                0.91348,                0.57616,                 1.3373,                0.67337,                 1.2829,              0.0001817,              0.0001817,              0.0001817
                     92,                0.70945,                0.34768,                0.91855,                0.86823,                0.85059,                0.91449,                0.57418,                 1.3355,                0.67532,                  1.285,              0.0001652,              0.0001652,              0.0001652
                     93,                 0.7053,                0.34172,                0.91545,                0.88809,                0.84808,                  0.919,                0.57977,                 1.3352,                0.66943,                 1.2876,              0.0001487,              0.0001487,              0.0001487
                     94,                0.68658,                0.33794,                0.90959,                0.87027,                 0.8643,                0.91855,                0.57989,                 1.3397,                0.66203,                 1.2934,             0.00013219,             0.00013219,             0.00013219
                     95,                0.68677,                 0.3353,                0.90991,                0.89492,                0.83434,                0.91642,                0.58007,                 1.3357,                0.67192,                  1.295,             0.00011569,             0.00011569,             0.00011569
                     96,                0.68259,                0.33681,                0.90905,                0.86833,                0.85942,                0.91524,                0.57932,                  1.335,                0.67256,                 1.2935,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.68332,                0.33664,                0.90854,                0.86652,                0.86092,                0.91526,                0.58179,                 1.3375,                0.67801,                 1.2909,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.67577,                0.32891,                0.90296,                0.88302,                0.84236,                0.91566,                0.57709,                 1.3414,                0.67512,                 1.2956,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.67546,                0.33263,                0.90496,                0.88758,                0.84397,                0.91793,                0.57986,                 1.3358,                0.66967,                 1.2933,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.66317,                0.33011,                0.90277,                0.89199,                0.84404,                0.91563,                0.58032,                 1.3356,                0.66484,                 1.2923,             3.3173e-05,             3.3173e-05,             3.3173e-05
